"","X_0002","X_0004","X_0007","X_0008","X_0010","X_0015","X_0017","X_0018","X_0019","X_0024","X_0026","X_0032","X_0038","X_0039","X_0040","X_0051","X_0054","X_0074","X_0076","X_0101","X_0143","X_0179","X_0181","X_0190","X_0198","X_0265","X_0312","X_0355"
"S_04970",5893,0,0,0,0,0,0,0,0,6283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05066",9438,0,0,0,0,0,0,0,0,4782,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0
"S_05162",8835,0,0,0,0,0,0,0,0,1299,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0
"S_05258",9766,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,30,0,98,0,0,0,0,0
"S_05354",11258,0,0,0,0,0,0,0,0,2157,0,0,0,0,0,0,0,0,0,0,21,0,144,0,0,0,0,0
"S_05450",7441,0,0,0,0,0,0,0,0,5595,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0
"S_05546",9304,0,0,0,0,0,0,0,0,6053,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0
"S_05642",5642,0,0,0,0,0,0,0,0,1358,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
"S_05738",4873,0,0,0,0,0,0,0,0,7134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05834",7602,0,0,0,0,0,0,0,0,682,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0
"S_05930",6826,0,0,0,0,0,0,0,0,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06026",9567,0,0,0,0,0,0,0,0,1967,0,0,0,0,0,0,0,0,0,0,53,0,62,0,0,0,0,0
"S_06122",7177,0,0,0,0,0,0,0,0,1747,0,0,0,0,0,0,0,0,0,0,73,0,58,0,0,0,0,0
"S_06218",6976,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
"S_06314",5546,0,0,0,0,0,0,0,0,1319,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
"S_06410",7638,0,0,0,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
"S_06506",6180,0,0,0,0,0,0,0,0,5215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06602",10143,0,0,0,0,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06698",8142,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
"S_06794",11302,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06890",6629,0,0,0,0,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06986",8400,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"S_07082",8364,0,0,0,0,0,0,0,0,781,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
"S_07178",17149,0,0,0,0,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0
"S_07274",13589,0,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07370",12143,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"S_07466",16544,0,0,0,0,0,0,0,0,1398,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0
"S_07562",24166,0,0,0,0,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
"S_07658",17284,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
"S_07754",7391,0,0,0,0,0,0,0,0,1685,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
"S_07850",6946,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07946",9578,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
"S_08042",13089,0,0,0,0,0,0,0,0,1749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08138",9776,0,0,0,0,0,0,0,0,1572,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0
"S_08234",8686,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
"S_08330",9356,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0
"S_08426",9895,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,80.5,0,0,0,0,0
"S_08522",10434,0,0,0,0,0,0,0,0,1669,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0
"S_08618",9763,0,0,0,0,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0
"S_08714",8793,0,0,0,132,0,0,0,0,1221,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
"S_08810",10655,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08906",6474,0,0,0,392,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
"S_09002",5723,0,0,0,53,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
